集計年,都道府県コード,都道府県名,産業大分類コード,産業大分類名,年齢,所定内給与額（万円）,年間賞与その他特別給与額（万円）,一人当たり賃金（万円）
2010,02,青森県,E,製造業,40～44歳,23.7,51.38,335.78
2010,02,青森県,E,製造業,45～49歳,21.3,44.3,299.9
2010,02,青森県,E,製造業,50～54歳,21.36,40.73,297.05
2010,02,青森県,E,製造業,55～59歳,21.13,38.41,291.97
2010,02,青森県,E,製造業,60～64歳,16.26,22.26,217.38
2010,02,青森県,E,製造業,65～69歳,15.4,13.74,198.54
2010,02,青森県,E,製造業,70歳～,17.63,12,223.56
2010,02,青森県,F,電気・ガス・熱供給・水道業,年齢計,35.06,134.05,554.77
2010,02,青森県,F,電気・ガス・熱供給・水道業,～19歳,18.74,61.59,286.47
2010,02,青森県,F,電気・ガス・熱供給・水道業,20～24歳,21.16,76.61,330.53
2010,02,青森県,F,電気・ガス・熱供給・水道業,25～29歳,26.66,103.27,423.19
2010,02,青森県,F,電気・ガス・熱供給・水道業,30～34歳,31.68,123.51,503.67
2010,02,青森県,F,電気・ガス・熱供給・水道業,35～39歳,44.12,166.28,695.72
2010,02,青森県,F,電気・ガス・熱供給・水道業,40～44歳,47.03,183.17,747.53
2010,02,青森県,F,電気・ガス・熱供給・水道業,45～49歳,52.21,191.11,817.63
2010,02,青森県,F,電気・ガス・熱供給・水道業,50～54歳,50.23,201.25,804.01
2010,02,青森県,F,電気・ガス・熱供給・水道業,55～59歳,53.88,244.34,890.9
2010,02,青森県,F,電気・ガス・熱供給・水道業,60～64歳,22.63,45.16,316.72
2010,02,青森県,F,電気・ガス・熱供給・水道業,65～69歳,-,-,-
2010,02,青森県,F,電気・ガス・熱供給・水道業,70歳～,-,-,-
2010,02,青森県,G,情報通信業,年齢計,32.19,115.62,501.9
2010,02,青森県,G,情報通信業,～19歳,16.18,38.58,232.74
2010,02,青森県,G,情報通信業,20～24歳,19.46,38.48,272
2010,02,青森県,G,情報通信業,25～29歳,22.39,83.53,352.21
2010,02,青森県,G,情報通信業,30～34歳,26.01,92.11,404.23
2010,02,青森県,G,情報通信業,35～39歳,29.63,103.35,458.91
2010,02,青森県,G,情報通信業,40～44歳,36.25,143.5,578.5
2010,02,青森県,G,情報通信業,45～49歳,36.6,126.45,565.65
2010,02,青森県,G,情報通信業,50～54歳,44.69,176.77,713.05
2010,02,青森県,G,情報通信業,55～59歳,42.83,153.07,667.03
2010,02,青森県,G,情報通信業,60～64歳,27.22,79.77,406.41
2010,02,青森県,G,情報通信業,65～69歳,28.64,10,353.68
2010,02,青森県,G,情報通信業,70歳～,-,-,-
2010,02,青森県,H,運輸業，郵便業,年齢計,20.53,32.6,278.96
2010,02,青森県,H,運輸業，郵便業,～19歳,15.27,0,183.24
2010,02,青森県,H,運輸業，郵便業,20～24歳,15.67,23.56,211.6
2010,02,青森県,H,運輸業，郵便業,25～29歳,17.58,27.91,238.87
2010,02,青森県,H,運輸業，郵便業,30～34歳,17.63,18.89,230.45
2010,02,青森県,H,運輸業，郵便業,35～39歳,19.02,26.25,254.49
2010,02,青森県,H,運輸業，郵便業,40～44歳,21.57,30.21,289.05
2010,02,青森県,H,運輸業，郵便業,45～49歳,23.18,45.8,323.96
2010,02,青森県,H,運輸業，郵便業,50～54歳,25.21,62.73,365.25
2010,02,青森県,H,運輸業，郵便業,55～59歳,21.01,28.95,281.07
2010,02,青森県,H,運輸業，郵便業,60～64歳,14.95,4.33,183.73
2010,02,青森県,H,運輸業，郵便業,65～69歳,13.01,2.21,158.33
2010,02,青森県,H,運輸業，郵便業,70歳～,-,-,-
2010,02,青森県,I,卸売業，小売業,年齢計,23.58,43.99,326.95
2010,02,青森県,I,卸売業，小売業,～19歳,13.82,1.63,167.47
2010,02,青森県,I,卸売業，小売業,20～24歳,15.87,19.52,209.96
2010,02,青森県,I,卸売業，小売業,25～29歳,17.98,35.24,251
2010,02,青森県,I,卸売業，小売業,30～34歳,21.09,44.36,297.44
2010,02,青森県,I,卸売業，小売業,35～39歳,23.16,43.51,321.43
2010,02,青森県,I,卸売業，小売業,40～44歳,25.25,52.75,355.75
2010,02,青森県,I,卸売業，小売業,45～49歳,27.44,58.75,388.03
2010,02,青森県,I,卸売業，小売業,50～54歳,29.07,46.14,394.98
2010,02,青森県,I,卸売業，小売業,55～59歳,28.73,52.12,396.88
2010,02,青森県,I,卸売業，小売業,60～64歳,17.3,11.55,219.15
2010,02,青森県,I,卸売業，小売業,65～69歳,15.86,9,199.32
2010,02,青森県,I,卸売業，小売業,70歳～,13.78,0,165.36
2010,02,青森県,J,金融業，保険業,年齢計,31.53,109.86,488.22
2010,02,青森県,J,金融業，保険業,～19歳,12.68,13.77,165.93
2010,02,青森県,J,金融業，保険業,20～24歳,17.97,52.34,267.98
2010,02,青森県,J,金融業，保険業,25～29歳,20.07,67.81,308.65
2010,02,青森県,J,金融業，保険業,30～34歳,24.45,92.15,385.55
2010,02,青森県,J,金融業，保険業,35～39歳,29.41,99.98,452.9
2010,02,青森県,J,金融業，保険業,40～44歳,33.22,118.12,516.76
2010,02,青森県,J,金融業，保険業,45～49歳,42.1,158.82,664.02
2010,02,青森県,J,金融業，保険業,50～54歳,43.17,158.39,676.43
2010,02,青森県,J,金融業，保険業,55～59歳,35.8,125.71,555.31
2010,02,青森県,J,金融業，保険業,60～64歳,29.52,54.77,409.01
2010,02,青森県,J,金融業，保険業,65～69歳,29.78,71.04,428.4
2010,02,青森県,J,金融業，保険業,70歳～,-,-,-
2010,02,青森県,K,不動産業，物品賃貸業,年齢計,24.52,62.81,357.05
2010,02,青森県,K,不動産業，物品賃貸業,～19歳,14,20.14,188.14
2010,02,青森県,K,不動産業，物品賃貸業,20～24歳,16.95,31.5,234.9
2010,02,青森県,K,不動産業，物品賃貸業,25～29歳,19.18,41.99,272.15
2010,02,青森県,K,不動産業，物品賃貸業,30～34歳,24.37,70.12,362.56
2010,02,青森県,K,不動産業，物品賃貸業,35～39歳,26.21,69.98,384.5
2010,02,青森県,K,不動産業，物品賃貸業,40～44歳,28.48,88.42,430.18
2010,02,青森県,K,不動産業，物品賃貸業,45～49歳,29.17,63.74,413.78
2010,02,青森県,K,不動産業，物品賃貸業,50～54歳,30.52,73.27,439.51
2010,02,青森県,K,不動産業，物品賃貸業,55～59歳,29.66,58.5,414.42
2010,02,青森県,K,不動産業，物品賃貸業,60～64歳,21.43,74.09,331.25
2010,02,青森県,K,不動産業，物品賃貸業,65～69歳,13.73,3.93,168.69
2010,02,青森県,K,不動産業，物品賃貸業,70歳～,12.2,0,146.4
2010,02,青森県,L,学術研究，専門・技術サービス業,年齢計,27.42,59.58,388.62
2010,02,青森県,L,学術研究，専門・技術サービス業,～19歳,15.5,0,186
2010,02,青森県,L,学術研究，専門・技術サービス業,20～24歳,16.18,28.77,222.93
2010,02,青森県,L,学術研究，専門・技術サービス業,25～29歳,20.2,28.49,270.89
